"province","age_group","sex","vaccination_date","total_number_individuals_vaccinated"
"Eastern Cape","18-34","Male","2021-03-03",61
"Eastern Cape","18-34","Male","2021-03-04",48
"Eastern Cape","18-34","Male","2021-03-05",39
"Eastern Cape","18-34","Male","2021-03-08",20
"Eastern Cape","18-34","Male","2021-03-09",56
"Eastern Cape","18-34","Male","2021-03-10",68
"Eastern Cape","18-34","Male","2021-03-11",47
"Eastern Cape","18-34","Male","2021-03-12",33
"Eastern Cape","18-34","Male","2021-03-15",40
"Eastern Cape","18-34","Male","2021-03-16",57
"Eastern Cape","18-34","Male","2021-03-17",78
"Eastern Cape","18-34","Male","2021-03-18",82
"Eastern Cape","18-34","Male","2021-03-19",156
"Eastern Cape","18-34","Male","2021-03-22",1
"Eastern Cape","18-34","Male","2021-03-23",100
"Eastern Cape","18-34","Male","2021-03-24",106
"Eastern Cape","18-34","Male","2021-03-25",90
"Eastern Cape","18-34","Male","2021-03-26",91
"Eastern Cape","18-34","Male","2021-03-29",89
"Eastern Cape","18-34","Male","2021-03-30",100
"Eastern Cape","18-34","Male","2021-03-31",110
"Eastern Cape","18-34","Male","2021-04-01",96
"Eastern Cape","18-34","Male","2021-04-06",64
"Eastern Cape","18-34","Male","2021-04-07",78
"Eastern Cape","18-34","Male","2021-04-08",78
"Eastern Cape","18-34","Male","2021-04-09",90
"Eastern Cape","18-34","Male","2021-04-12",86
"Eastern Cape","18-34","Male","2021-04-13",62
"Eastern Cape","18-34","Male","2021-04-28",60
"Eastern Cape","18-34","Male","2021-04-29",46
"Eastern Cape","18-34","Male","2021-04-30",41
"Eastern Cape","18-34","Male","2021-05-03",40
"Eastern Cape","18-34","Male","2021-05-04",84
"Eastern Cape","18-34","Male","2021-05-05",135
"Eastern Cape","18-34","Male","2021-05-06",153
"Eastern Cape","18-34","Male","2021-05-07",162
"Eastern Cape","18-34","Male","2021-05-10",166
"Eastern Cape","18-34","Male","2021-05-11",229
"Eastern Cape","18-34","Male","2021-05-12",298
"Eastern Cape","18-34","Male","2021-05-13",319
"Eastern Cape","18-34","Male","2021-05-14",362
"Eastern Cape","18-34","Male","2021-05-15",13
"Eastern Cape","18-34","Male","2021-05-16",2
"Eastern Cape","18-34","Male","2021-05-17",68
"Eastern Cape","18-34","Male","2021-05-18",70
"Eastern Cape","18-34","Male","2021-05-19",87
"Eastern Cape","18-34","Male","2021-05-20",45
"Eastern Cape","18-34","Male","2021-05-21",34
"Eastern Cape","18-34","Male","2021-05-24",15
"Eastern Cape","18-34","Male","2021-05-25",18
"Eastern Cape","18-34","Male","2021-05-26",17
"Eastern Cape","18-34","Male","2021-05-27",12
"Eastern Cape","18-34","Male","2021-05-28",6
"Eastern Cape","18-34","Male","2021-05-29",1
"Eastern Cape","18-34","Male","2021-05-31",6
"Eastern Cape","18-34","Male","2021-06-01",5
"Eastern Cape","18-34","Male","2021-06-02",11
"Eastern Cape","18-34","Male","2021-06-03",8
"Eastern Cape","18-34","Male","2021-06-04",8
"Eastern Cape","18-34","Male","2021-06-07",31
"Eastern Cape","18-34","Male","2021-06-08",22
"Eastern Cape","18-34","Male","2021-06-09",30
"Eastern Cape","18-34","Male","2021-06-10",15
"Eastern Cape","18-34","Male","2021-06-11",26
"Eastern Cape","18-34","Male","2021-06-14",7
"Eastern Cape","18-34","Male","2021-06-15",10
"Eastern Cape","18-34","Male","2021-06-17",12
"Eastern Cape","18-34","Male","2021-06-18",16
"Eastern Cape","18-34","Male","2021-06-19",2
"Eastern Cape","18-34","Male","2021-06-21",35
"Eastern Cape","18-34","Male","2021-06-22",35
"Eastern Cape","18-34","Male","2021-06-23",327
"Eastern Cape","18-34","Male","2021-06-24",434
"Eastern Cape","18-34","Male","2021-06-25",337
"Eastern Cape","18-34","Male","2021-06-26",1
"Eastern Cape","18-34","Male","2021-06-27",1
"Eastern Cape","18-34","Male","2021-06-28",414
"Eastern Cape","18-34","Male","2021-06-29",264
"Eastern Cape","18-34","Male","2021-06-30",424
"Eastern Cape","18-34","Male","2021-07-01",314
"Eastern Cape","18-34","Male","2021-07-02",206
"Eastern Cape","18-34","Male","2021-07-05",127
"Eastern Cape","18-34","Male","2021-07-06",148
"Eastern Cape","18-34","Male","2021-07-07",133
"Eastern Cape","18-34","Male","2021-07-08",183
"Eastern Cape","18-34","Male","2021-07-09",135
"Eastern Cape","18-34","Male","2021-07-10",0
"Eastern Cape","18-34","Male","2021-07-12",89
"Eastern Cape","18-34","Male","2021-07-13",99
"Eastern Cape","18-34","Male","2021-07-14",120
"Eastern Cape","18-34","Male","2021-07-15",86
"Eastern Cape","18-34","Male","2021-07-16",98
"Eastern Cape","18-34","Male","2021-07-17",16
"Eastern Cape","18-34","Male","2021-07-19",168
"Eastern Cape","18-34","Male","2021-07-20",144
"Eastern Cape","18-34","Male","2021-07-21",324
"Eastern Cape","18-34","Male","2021-07-22",399
"Eastern Cape","18-34","Male","2021-07-23",468
"Eastern Cape","18-34","Male","2021-07-24",159
"Eastern Cape","18-34","Male","2021-07-25",104
"Eastern Cape","18-34","Male","2021-07-26",571
"Eastern Cape","18-34","Male","2021-07-27",711
"Eastern Cape","18-34","Male","2021-07-28",578
"Eastern Cape","18-34","Male","2021-07-29",591
"Eastern Cape","18-34","Male","2021-07-30",387
"Eastern Cape","18-34","Male","2021-07-31",236
"Eastern Cape","18-34","Male","2021-08-01",101
"Eastern Cape","18-34","Male","2021-08-02",327
"Eastern Cape","18-34","Male","2021-08-03",566
"Eastern Cape","18-34","Male","2021-08-04",293
"Eastern Cape","18-34","Male","2021-08-05",169
"Eastern Cape","18-34","Male","2021-08-06",81
"Eastern Cape","18-34","Male","2021-08-07",131
"Eastern Cape","18-34","Male","2021-08-08",35
"Eastern Cape","18-34","Male","2021-08-09",17
"Eastern Cape","18-34","Male","2021-08-10",37
"Eastern Cape","18-34","Male","2021-08-11",74
"Eastern Cape","18-34","Male","2021-08-12",55
"Eastern Cape","18-34","Male","2021-08-13",113
"Eastern Cape","18-34","Male","2021-08-14",1
"Eastern Cape","18-34","Male","2021-08-15",8
"Eastern Cape","18-34","Male","2021-08-16",68
"Eastern Cape","18-34","Male","2021-08-17",93
"Eastern Cape","18-34","Male","2021-08-18",102
"Eastern Cape","18-34","Male","2021-08-19",67
"Eastern Cape","18-34","Male","2021-08-20",2206
"Eastern Cape","18-34","Male","2021-08-21",362
"Eastern Cape","18-34","Male","2021-08-22",143
"Eastern Cape","18-34","Male","2021-08-23",2805
"Eastern Cape","18-34","Male","2021-08-24",3699
"Eastern Cape","18-34","Male","2021-08-25",3484
"Eastern Cape","18-34","Male","2021-08-26",3107
"Eastern Cape","18-34","Male","2021-08-27",3045
"Eastern Cape","18-34","Male","2021-08-28",497
"Eastern Cape","18-34","Male","2021-08-29",326
"Eastern Cape","18-34","Male","2021-08-30",2934
"Eastern Cape","18-34","Male","2021-08-31",2948
"Eastern Cape","18-34","Male","2021-09-01",2879
"Eastern Cape","18-34","Male","2021-09-02",3143
"Eastern Cape","18-34","Male","2021-09-03",2584
"Eastern Cape","18-34","Male","2021-09-04",564
"Eastern Cape","18-34","Male","2021-09-05",319
"Eastern Cape","18-34","Male","2021-09-06",2155
"Eastern Cape","18-34","Male","2021-09-07",2094
"Eastern Cape","18-34","Male","2021-09-08",3009
"Eastern Cape","18-34","Male","2021-09-09",3267
"Eastern Cape","18-34","Male","2021-09-10",2743
"Eastern Cape","18-34","Male","2021-09-11",643
"Eastern Cape","18-34","Male","2021-09-12",240
"Eastern Cape","18-34","Male","2021-09-13",2569
"Eastern Cape","18-34","Male","2021-09-14",3348
"Eastern Cape","18-34","Male","2021-09-15",3469
"Eastern Cape","18-34","Male","2021-09-16",2958
"Eastern Cape","18-34","Male","2021-09-17",2162
"Eastern Cape","18-34","Male","2021-09-18",506
"Eastern Cape","18-34","Male","2021-09-19",208
"Eastern Cape","18-34","Male","2021-09-20",2800
"Eastern Cape","18-34","Male","2021-09-21",2762
"Eastern Cape","18-34","Male","2021-09-22",3372
"Eastern Cape","18-34","Male","2021-09-23",2456
"Eastern Cape","18-34","Male","2021-09-24",275
"Eastern Cape","18-34","Male","2021-09-25",301
"Eastern Cape","18-34","Male","2021-09-26",205
"Eastern Cape","18-34","Male","2021-09-27",2205
"Eastern Cape","18-34","Male","2021-09-28",2813
"Eastern Cape","18-34","Male","2021-09-29",2637
"Eastern Cape","18-34","Male","2021-09-30",2052
"Eastern Cape","18-34","Male","2021-10-01",2951
"Eastern Cape","18-34","Male","2021-10-02",1786
"Eastern Cape","18-34","Male","2021-10-03",1180
"Eastern Cape","18-34","Male","2021-10-04",2687
